Development_Name,Borough,Account_Name,Location,Funding_Source,AMP_Number,Vendor_Name,UMIS_BILL_ID,Revenue_Month,Service_Start_Date,DATE,Number_of_days,Meter_Number,Estimated,Current_Charges,Rate_Class,Bill_Analyzed,Consumption_Therms,ES_Commodity,Underlying_Utility,STATION,NAME,LATITUDE,LONGITUDE,PRCP,SNOW,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
MITCHEL,BRONX,MITCHEL,BLD 04,FEDERAL,NY005011450P,EAST COAST POWER & GAS,8048689,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,24009.9,,Yes,59278.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MILL BROOK EXTENSION,BRONX,MILL BROOK/MILL BROOK EXTENSION,MILL BROOK BLD 05,FEDERAL,NY005010840P,EAST COAST POWER & GAS,8048667,2019-07-01,2019-06-24,2019-07-23,29.0,395416160800000-10.1%,N,1611.65,,Yes,3979.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MILL BROOK,BRONX,MILL BROOK/MILL BROOK EXTENSION,MILL BROOK BLD 05,FEDERAL,NY005010840P,EAST COAST POWER & GAS,8048667,2019-07-01,2019-06-24,2019-07-23,29.0,395416160800000-89.9%,N,14345.27,,Yes,35417.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MIDDLETOWN PLAZA,BRONX,MIDDLETOWN PLAZA,BLD 01,FEDERAL,NY005010340P,EAST COAST POWER & GAS,8048681,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,1372.68,,Yes,3389.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MELROSE,BRONX,MELROSE,BLD 06,FEDERAL,NY005010280P,EAST COAST POWER & GAS,8048638,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,21177.46,,Yes,52285.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MELROSE,BRONX,MELROSE,BLD09 - Community Center,FEDERAL,NY005010280P,EAST COAST POWER & GAS,8048637,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,17.82,,Yes,44.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MCKINLEY,BRONX,MCKINLEY,BLD 03,FEDERAL,NY005000590P,EAST COAST POWER & GAS,8048668,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,,0.0,,Yes,0.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MARBLE HILL,BRONX,MARBLE HILL,BLD 04,MIXED FINANCE/LLC1,NY005020490P,EAST COAST POWER & GAS,8048593,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,2154.81,,Yes,5320.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
LONGFELLOW AVENUE REHAB,BRONX,LONGFELLOW AVENUE REHAB,BLD 01,FEDERAL,NY005015300P,EAST COAST POWER & GAS,8048656,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,219.53,,Yes,542.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
LONGFELLOW AVENUE REHAB,BRONX,LONGFELLOW AVENUE REHAB,BLD 02,FEDERAL,NY005015300P,EAST COAST POWER & GAS,8048626,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,1236.18,,Yes,3052.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
JACKSON,BRONX,JACKSON,BLD 02,FEDERAL,NY005012670P,EAST COAST POWER & GAS,8048643,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,16788.87,,Yes,41450.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
HUNTS POINT AVENUE REHAB,BRONX,HUNTS POINT AVENUE REHAB,BLD 13,FEDERAL,NY005015300P,EAST COAST POWER & GAS,8048694,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,252.74,,Yes,624.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
HUNTS POINT AVENUE REHAB,BRONX,HUNTS POINT AVENUE REHAB,BLD 10,FEDERAL,NY005015300P,EAST COAST POWER & GAS,8048693,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,189.56,,Yes,468.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
HUNTS POINT AVENUE REHAB,BRONX,HUNTS POINT AVENUE REHAB,BLD 07,FEDERAL,NY005015300P,EAST COAST POWER & GAS,8048692,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,1981.05,,Yes,4891.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
